COM_AV,COM_AP,NCC_AV,NCC_AP
49234,49228,PARCAY LES PINS,NOYANT VILLAGES
49250,49248,PREVIERE,OMBREE D ANJOU
49290,49167,SAINT JEAN DES MAUVRETS,GARENNES SUR LOIRE
49305,49331,SAINT MARTIN DU BOIS,SEGRE EN ANJOU BLEU
49309,49248,SAINT MICHEL ET CHANVEAUX,OMBREE D ANJOU
49317,49050,SAINT REMY LA VARENNE,BRISSAC LOIRE AUBANCE
49318,49050,SAINT SATURNIN SUR LOIRE,BRISSAC LOIRE AUBANCE
49319,49331,SAINT SAUVEUR DE FLEE,SEGRE EN ANJOU BLEU
49327,49050,SAULGE L HOPITAL,BRISSAC LOIRE AUBANCE
49354,49248,TREMBLAY,OMBREE D ANJOU
49363,49050,VAUCHRETIEN,BRISSAC LOIRE AUBANCE
49366,49248,VERGONNES,OMBREE D ANJOU
49376,49183,VILLEMOISAN,VAL D ERDRE AUXENCE
49175,49228,LINIERES BOUTON,NOYANT VILLAGES
49184,49331,LOUVAINES,SEGRE EN ANJOU BLEU
49173,49228,LASSE,NOYANT VILLAGES
49087,49228,CHAVAIGNES,NOYANT VILLAGES
49013,49228,AUVERSE,NOYANT VILLAGES
49014,49331,AVIRE,SEGRE EN ANJOU BLEU
49001,49050,ALLEUDS,BRISSAC LOIRE AUBANCE
49044,49228,BREIL,NOYANT VILLAGES
49052,49228,BROC,NOYANT VILLAGES
49062,49228,CHALONNES SOUS LE LUDE,NOYANT VILLAGES
49073,49248,CHAPELLE HULLIN,OMBREE D ANJOU
49077,49331,CHAPELLE SUR OUDON,SEGRE EN ANJOU BLEU
49078,49050,CHARCE SAINT ELLIER SUR AUBANCE,BRISSAC LOIRE AUBANCE
49081,49331,CHATELAIS,SEGRE EN ANJOU BLEU
49037,49331,BOURG D IRE,SEGRE EN ANJOU BLEU
49088,49248,CHAZE HENRY,OMBREE D ANJOU
49091,49050,CHEMELLIER,BRISSAC LOIRE AUBANCE
49158,49331,HOTELLERIE DE FLEE,SEGRE EN ANJOU BLEU
49098,49228,CHIGNE,NOYANT VILLAGES
49103,49248,COMBREE,OMBREE D ANJOU
49108,49183,CORNUAILLE,VAL D ERDRE AUXENCE
49115,49050,COUTURES,BRISSAC LOIRE AUBANCE
49122,49228,DENEZE SOUS LE LUDE,NOYANT VILLAGES
49136,49331,FERRIERE DE FLEE,SEGRE EN ANJOU BLEU
49150,49228,GENNETEIL,NOYANT VILLAGES
49156,49248,GRUGE L HOPITAL,OMBREE D ANJOU
61175,61341,FORGES,ECOUVES
61509,61341,VINGT HANAPS,ECOUVES
15171,15141,SAINTE ANASTASIE,NEUSSARGUES EN PINATELLE
15047,15141,CHAVAGNAC,NEUSSARGUES EN PINATELLE
15035,15141,CHALINARGUES,NEUSSARGUES EN PINATELLE
15031,15141,CELLES,NEUSSARGUES EN PINATELLE
72203,72071,MONTABON,MONTVAL SUR LOIR
72384,72071,VOUVRAY SUR LOIR,MONTVAL SUR LOIR
62431,62471,HERBELLES,BELLINGHEM
08068,08490,BLAISE,VOUZIERS
08443,08490,TERRON SUR AISNE,VOUZIERS
08493,08490,VRIZY,VOUZIERS
25576,25575,VAIRE LE PETIT,VAIRE
52224,52064,GONAINCOURT,BOURMONT ENTRE MEUSE ET MOUZON
57432,57148,MAIZERY,COLLIGNY MAIZERY
39243,39577,FROIDEVILLE,VINCENT FROIDEVILLE
22007,22055,BINIC,BINIC ETABLES SUR MER
61004,61168,ANTOIGNY,FERTE MACE
52454,52529,SAINT MICHEL,VILLEGUSIEN LE LAC
50602,50129,TOURLAVILLE,CHERBOURG EN COTENTIN
50625,50582,VENGEONS,SOURDEVAL
50630,50410,VESSEY,PONTORSON
50635,50492,VIDOUVILLE,SAINT JEAN D ELLE
50638,50359,VILLECHIEN,MORTAIN BOCAGE
50644,50484,VIREY,SAINT HILAIRE DU HARCOUET
50645,50142,VRASVILLE,VICQ SUR MER
50646,50082,VRETOT,BRICQUEBEC EN COTENTIN
51064,51030,BISSEUIL,AY CHAMPAGNE
51331,51564,LOUVOIS,VAL DE LIVRE
51347,51030,MAREUIL SUR AY,AY CHAMPAGNE
52036,52449,BALESMES SUR MARNE,SAINTS GEOSMES
52180,52411,DROYES,RIVES DERVOISES
52239,52529,HEUILLEY COTTON,VILLEGUSIEN LE LAC
52293,52411,LONGEVILLE SUR LA LAINES,RIVES DERVOISES
52296,52411,LOUZE,RIVES DERVOISES
52340,52405,MONTSAUGEON,MONTSAUGEONNAIS
52387,52529,PIEPAPE,VILLEGUSIEN LE LAC
52402,52529,PRANGEY,VILLEGUSIEN LE LAC
50614,50082,VALDECIE,BRICQUEBEC EN COTENTIN
50414,50492,PRECORBIN,SAINT JEAN D ELLE
50406,50535,PLOMB,PARC
50415,50273,PRETOT SAINTE SUZANNE,MONTSENELLE
50416,50129,QUERQUEVILLE,CHERBOURG EN COTENTIN
50418,50082,QUETTETOT,BRICQUEBEC EN COTENTIN
50434,50565,ROCHELLE NORMANDE,SARTILLY BAIE BOCAGE
50440,50639,ROUFFIGNY,VILLEDIEU LES POELES ROUFFIGNY
50441,50492,ROUXEVILLE,SAINT JEAN D ELLE
50470,50564,SAINT GEORGES DE BOHON,TERRE ET MARAIS
50494,50359,SAINT JEAN DU CORAIL,MORTAIN BOCAGE
50497,50273,SAINT JORES,MONTSENELLE
50508,50591,SAINTE MARIE DU BOIS,TEILLEUL
50515,50484,SAINT MARTIN DE LANDELLES,SAINT HILAIRE DU HARCOUET
50520,50082,SAINT MARTIN LE HEBERT,BRICQUEBEC EN COTENTIN
50544,50236,SAINT REMY DES LANDES,HAYE
50557,50090,SAINT SYMPHORIEN DES MONTS,BUAIS LES MONTS
50558,50236,SAINT SYMPHORIEN LE VALOIS,HAYE
50586,50236,SURVILLE,HAYE
52427,52331,ROBERT MAGNY,PORTE DU DER
61045,61491,BIVILLIERS,TOUROUVRE AU PERCHE
52509,52405,VAUX SOUS AUBIGNY,MONTSAUGEONNAIS
61135,61096,COUTERNE,RIVES D ANDAINE
61065,61491,BUBERTRE,TOUROUVRE AU PERCHE
61073,61007,CARNEILLE,ATHIS VAL DE ROUVRE
61090,61491,CHAMPS,TOUROUVRE AU PERCHE
61106,61339,CHENEDOUIT,PUTANGES LE LAC
61112,61309,COLONARD CORUBERT,PERCHE EN NOCE
61115,61116,CONDEAU,SABLONS SUR HUISNE
61125,61116,COULONGES LES SABLONS,SABLONS SUR HUISNE
61128,61050,COURCERAULT,COUR MAUGIS SUR HUISNE
61136,61167,COUVAINS,FERTE EN OUCHE
61058,61007,BREEL,ATHIS VAL DE ROUVRE
61144,61309,DANCE,PERCHE EN NOCE
61147,61345,DORCEAU,REMALARD EN PERCHE
61155,61324,EPINAY LE COMTE,PASSAIS VILLAGES
61174,61339,FORET AUVRAY,PUTANGES LE LAC
61179,61339,FRESNAYE AU SAUVAGE,PUTANGES LE LAC
61184,61167,GAUVILLE,FERTE EN OUCHE
61185,61484,GEMAGES,VAL AU PERCHE
61186,61096,GENESLAY,RIVES D ANDAINE
61059,61491,BRESOLETTES,TOUROUVRE AU PERCHE
61047,61167,BOCQUENCE,FERTE EN OUCHE
53050,53255,CHAMMES,SAINTE SUZANNE ET CHAMMES
58167,58026,MICHAUGUES,BEAULIEU
53194,53137,RUILLE LE GRAVELAIS,LOIRON RUILLE
53252,53185,SAINT SAMSON,PRE EN PAIL SAINT SAMSON
56037,56197,CHAPELLE CARO,VAL D OUST
56142,56144,MOUSTOIR REMUNGOL,EVELLYS
56150,56251,NOYALO,THEIX NOYALO
56187,56197,QUILY,VAL D OUST
56192,56144,REMUNGOL,EVELLYS
57184,57021,DORNOT,ANCY DORNOT
58100,58026,DOMPIERRE SUR HERY,BEAULIEU
59154,59588,COUDEKERQUE VILLAGE,TETEGHEM COUDEKERQUE VILLAGE
50392,50410,PAS,PONTORSON
59404,59260,MOERES,GHYVELDE
60018,60088,ANSERVILLE,BORNEL
60246,60088,FOSSEUSE,BORNEL
61003,61167,ANCEINS,FERTE EN OUCHE
61016,61491,AUTHEUIL,TOUROUVRE AU PERCHE
61025,61211,BAROCHE SOUS LUCE,JUVIGNY VAL D ANDAINE
61033,61211,BEAULANDAIS,JUVIGNY VAL D ANDAINE
61042,61345,BELLOU SUR HUISNE,REMALARD EN PERCHE
50396,50082,PERQUES,BRICQUEBEC EN COTENTIN
50381,50359,NOTRE DAME DU TOUCHET,MORTAIN BOCAGE
49382,49160,FRESNE SUR LOIRE,INGRANDES LE FRESNE SUR LOIRE
49322,49029,SAINT SULPICE,BLAISON SAINT SULPICE
49342,49373,TANCOIGNE,LYS HAUT LAYON
49348,49373,TIGNE,LYS HAUT LAYON
49356,49373,TREMONT,LYS HAUT LAYON
49357,49261,TREVES CUNAULT,GENNES VAL DE LOIRE
49372,49018,VIEIL BAUGE,BAUGE EN ANJOU
49379,49373,VOIDE,LYS HAUT LAYON
49380,49018,VAULANDRY,BAUGE EN ANJOU
50063,50236,BOLLEVILLE,HAYE
49134,49345,FAYE D ANJOU,BELLEVIGNE EN LAYON
50009,50565,ANGEY,SARTILLY BAIE BOCAGE
50011,50142,ANGOVILLE EN SAIRE,VICQ SUR MER
50017,50410,ARDEVON,PONTORSON
50035,50236,BAUDREVILLE,HAYE
50056,50359,BION,MORTAIN BOCAGE
49315,49018,SAINT QUENTIN LES BEAUREPAIRE,BAUGE EN ANJOU
49303,49018,SAINT MARTIN D ARCE,BAUGE EN ANJOU
49286,49373,SAINT HILAIRE DU BOIS,LYS HAUT LAYON
49280,49138,SAINT GEORGES DU BOIS,BOIS D ANJOU
61200,61096,HALEINE,RIVES D ANDAINE
49139,49194,FONTAINE MILON,MAZE MILON
49142,49373,FOSSE DE TIGNE,LYS HAUT LAYON
49143,49018,FOUGERE,BAUGE EN ANJOU
49147,49021,GEE,BEAUFORT EN ANJOU
49157,49018,GUEDENIAU,BAUGE EN ANJOU
49181,49003,LOUERRE,TUFFALUN
49185,49163,LUE EN BAUGEOIS,JARZE VILLAGES
49196,49200,MEIGNANNE,LONGUENEE EN ANJOU
49213,49018,MONTPOLLIN,BAUGE EN ANJOU
49230,49003,NOYANT LA PLAINE,TUFFALUN
49232,49373,NUEIL SUR LAYON,LYS HAUT LAYON
49238,49323,PELLOUAILLES LES VIGNES,VERRIERES EN ANJOU
49242,49200,PLESSIS MACE,LONGUENEE EN ANJOU
49245,49018,PONTIGNE,BAUGE EN ANJOU
49251,49200,PRUILLE,LONGUENEE EN ANJOU
49256,49345,RABLAY SUR LAYON,BELLEVIGNE EN LAYON
50065,50410,BOUCEY,PONTORSON
50380,50492,NOTRE DAME D ELLE,SAINT JEAN D ELLE
50224,50601,GUILBERVILLE,TORIGNY LES VILLES
50245,50591,HEUSSE,TEILLEUL
50254,50591,HUSSON,TEILLEUL
50280,50292,LOZON,MARIGNY LE LOZON
50284,50410,MACEY,PONTORSON
50293,50391,MARTIGNY,GRANDPARIGNY
50071,50535,BRAFFAIS,PARC
50316,50363,MESNIL OPAC,MOYON VILLAGES
50329,50391,MILLY,GRANDPARIGNY
50330,50236,MOBECQ,HAYE
50331,50410,MOIDREY,PONTORSON
50339,50388,MONTCHATON,ORVAL SUR SIENNE
50343,50236,MONTGARDON,HAYE
50355,50565,MONTVIRON,SARTILLY BAIE BOCAGE
50204,50236,GLATIGNY,HAYE
50203,50129,GLACERIE,CHERBOURG EN COTENTIN
50202,50601,GIEVILLE,TORIGNY LES VILLES
50075,50601,BRECTOUVILLE,TORIGNY LES VILLES
50114,50115,CHAMBRES,GRIPPON
50116,50565,CHAMPCEY,SARTILLY BAIE BOCAGE
50123,50239,CHAPELLE EN JUGER,THEREVAL
50128,50393,CHEFRESNE,PERCY EN NORMANDIE
50132,50168,CHERIS,DUCEY LES CHERIS
50133,50391,CHEVREVILLE,GRANDPARIGNY
50134,50363,CHEVRY,MOYON VILLAGES
50136,50273,COIGNY,MONTSENELLE
50141,50410,CORMERAY,PONTORSON
50157,50410,CUREY,PONTORSON
50173,50129,EQUEURDREVILLE HAINNEVILLE,CHERBOURG EN COTENTIN
50179,50591,FERRIERES,TEILLEUL
50189,50436,FONTENAY,ROMAGNY FONTENAY
61191,61167,GLOS LA FERRIERE,FERTE EN OUCHE
85165,85084,OIE,ESSARTS EN BOCAGE
61201,61145,HAUTE CHAPELLE,DOMFRONT EN POIRAIE
76701,76476,TOUFFREVILLE LA CABLE,PORT JEROME SUR SEINE
76326,76618,GRENY,PETIT CAUX
76337,76618,GUILMECOURT,PETIT CAUX
76376,76618,INTRAVILLE,PETIT CAUX
76496,76618,PENLY,PETIT CAUX
76625,76401,SAINT NICOLAS DE BLIQUETUIT,ARELAUNE EN SEINE
76643,76618,SAINT QUENTIN AU BOSC,PETIT CAUX
76659,76164,SAINT WANDRILLE RANCON,RIVES EN SEINE
76696,76618,TOCQUEVILLE SUR EU,PETIT CAUX
76704,76618,TOURVILLE LA CHAPELLE,PETIT CAUX
79113,79280,ETUSSON,SAINT MAURICE ETUSSON
76713,76476,TRIQUERVILLE,PORT JEROME SUR SEINE
76742,76164,VILLEQUIER,RIVES EN SEINE
77017,77211,BAILLY CARROIS,GRANDPUITS BAILLY CARROIS
79021,79090,AVAILLES SUR CHIZE,CHIZE
79053,79013,BREUIL SOUS ARGENTON,ARGENTONNAY
79072,79013,CHAPELLE GAUDIN,ARGENTONNAY
76310,76618,GOUCHAUPRE,PETIT CAUX
76301,76618,GLICOURT,PETIT CAUX
76277,76276,FOSSE,FORGES LES EAUX
73239,73010,SAINT GIROD,ENTRELACS
73291,73006,TESSENS,AIME LA PLAGNE
73305,73150,VALEZAN,PLAGNE TARENTAISE
73325,73006,VILLETTE,AIME LA PLAGNE
74084,74167,CONS SAINTE COLOMBE,VAL DE CHAISE
74181,74112,METZ TESSY,EPAGNY METZ TESSY
74187,74275,MONTMIN,TALLOIRES MONTMIN
76027,76618,ASSIGNY,PETIT CAUX
76031,76476,AUBERVILLE LA CAMPAGNE,PORT JEROME SUR SEINE
76037,76618,AUQUEMESNIL,PETIT CAUX
76073,76618,BELLEVILLE SUR MER,PETIT CAUX
76081,76618,BERNEVAL LE GRAND,PETIT CAUX
76098,76618,BIVILLE SUR MER,PETIT CAUX
76137,76618,BRACQUEMONT,PETIT CAUX
76145,76618,BRUNVILLE,PETIT CAUX
76215,76618,DERCHIGNY,PETIT CAUX
79099,79013,COUDRE,ARGENTONNAY
79187,79013,MOUTIERS SOUS ARGENTON,ARGENTONNAY
73169,73006,MONTGIROD,AIME LA PLAGNE
89294,89086,PERREUX,CHARNY OREE DE PUISAYE
89103,89086,CHEVILLON,CHARNY OREE DE PUISAYE
89107,89411,CHIGY,VALLEES DE LA VANNE
89138,89086,DICY,CHARNY OREE DE PUISAYE
89178,89086,FONTENOUILLES,CHARNY OREE DE PUISAYE
89192,89086,GRANDCHAMP,CHARNY OREE DE PUISAYE
89213,89196,LADUZ,VALRAVILLON
89241,89086,MALICORNE,CHARNY OREE DE PUISAYE
89243,89086,MARCHAIS BETON,CHARNY OREE DE PUISAYE
89275,89196,NEUILLY,VALRAVILLON
89317,89086,PRUNOY,CHARNY OREE DE PUISAYE
79333,79013,ULCOT,ARGENTONNAY
89330,89441,SACY,VERMENTON
89343,89086,SAINT DENIS SUR OUANNE,CHARNY OREE DE PUISAYE
89356,89334,SAINT MARTIN SUR OCRE,VAL D OCRE
89358,89086,SAINT MARTIN SUR OUANNE,CHARNY OREE DE PUISAYE
89366,89388,SAINT ROMAIN LE PREUX,SEPEAUX SAINT ROMAIN
89429,89411,VAREILLES,VALLEES DE LA VANNE
89454,89086,VILLEFRANCHE,CHARNY OREE DE PUISAYE
89457,89196,VILLEMER,VALRAVILLON
49128,49018,ECHEMIRE,BAUGE EN ANJOU
89097,89086,CHENE ARNOULT,CHARNY OREE DE PUISAYE
89070,89086,CHAMBEUGLE,CHARNY OREE DE PUISAYE
81155,81026,MARSAL,BELLEGARDE MARSAL
85030,85084,BOULOGNE,ESSARTS EN BOCAGE
85043,85213,CHAILLE SOUS LES ORMEAUX,RIVES DE L YON
85063,85090,CHATELLIERS CHATEAUMUR,SEVREMONT
85069,85008,CLOUZEAUX,AUBIGNY LES CLOUZEAUX
85091,85080,FONTAINES,DOIX LES FONTAINES
85150,85197,MORMAISON,MONTREVERD
85180,85090,POMMERAIE SUR SEVRE,SEVREMONT
85212,85084,SAINTE FLORENCE,ESSARTS EN BOCAGE
85219,85154,SAINT GERMAIN L AIGUILLER,MOUILLERON SAINT GERMAIN
85257,85090,SAINT MICHEL MONT MERCURE,SEVREMONT
85272,85197,SAINT SULPICE LE VERDON,MONTREVERD
85279,85019,SALIGNY,BELLEVIGNY
86259,86245,SENILLE,SENILLE SAINT SAUVEUR
87026,87097,BUSSIERE BOFFY,VAL D ISSOIRE
88018,88218,AUMONTZEY,GRANGES AUMONTZEY
88112,88361,COLROY LA GRANDE,PROVENCHERES ET COLROY
73238,73010,SAINT GERMAIN LA CHAMBOTTE,ENTRELACS
73158,73010,MOGNARD,ENTRELACS
61204,61484,HERMITIERE,VAL AU PERCHE
61380,61211,SAINT DENIS DE VILLENETTE,JUVIGNY VAL D ANDAINE
61343,61491,RANDONNAI,TOUROUVRE AU PERCHE
61353,61007,RONFEUGERAI,ATHIS VAL DE ROUVRE
61354,61339,ROTOURS,PUTANGES LE LAC
61355,61145,ROUELLE,DOMFRONT EN POIRAIE
61356,61484,ROUGE,VAL AU PERCHE
61359,61484,SAINT AGNAN SUR ERRE,VAL AU PERCHE
61364,61339,SAINT AUBERT SUR ORNE,PUTANGES LE LAC
61368,61309,SAINT AUBIN DES GROIS,PERCHE EN NOCE
61378,61339,SAINTE CROIX SUR ORNE,PUTANGES LE LAC
61409,61309,SAINT JEAN DE LA FORET,PERCHE EN NOCE
61478,61007,TAILLEBOIS,ATHIS VAL DE ROUVRE
61428,61463,SAINT MAURICE DU DESERT,MONTS D ANDAINE
61430,61050,SAINT MAURICE SUR HUISNE,COUR MAUGIS SUR HUISNE
61431,61483,SAINT MICHEL DES ANDAINES,BAGNOLES DE L ORNE NORMANDIE
61434,61167,SAINT NICOLAS DES LAITIERS,FERTE EN OUCHE
61455,61324,SAINT SIMEON,PASSAIS VILLAGES
61458,61230,SAINT VICTOR DE RENO,LONGNY LES VILLAGES
61465,61007,SEGRIE FONTAINE,ATHIS VAL DE ROUVRE
61469,61211,SEPT FORGES,JUVIGNY VAL D ANDAINE
61340,61339,RABODANGES,PUTANGES LE LAC
61338,61491,PREPOTIN,TOUROUVRE AU PERCHE
61337,61309,PREAUX DU PERCHE,PERCHE EN NOCE
61335,61491,POTERIE AU PERCHE,TOUROUVRE AU PERCHE
61205,61167,HEUGON,FERTE EN OUCHE
61220,61230,LANDE SUR EURE,LONGNY LES VILLAGES
61226,61491,LIGNEROLLES,TOUROUVRE AU PERCHE
61235,61211,LORE,JUVIGNY VAL D ANDAINE
61239,61211,LUCE,JUVIGNY VAL D ANDAINE
61245,61050,MAISON MAUGIS,COUR MAUGIS SUR HUISNE
61246,61484,MALE,VAL AU PERCHE
61247,61230,MALETABLE,LONGNY LES VILLAGES
61250,61230,MARCHAINVILLE,LONGNY LES VILLAGES
61253,61081,MARMOUILLE,CHAILLOUE
61270,61339,MENIL JEAN,PUTANGES LE LAC
61280,61230,MONCEAUX AU PERCHE,LONGNY LES VILLAGES
61282,61167,MONNAI,FERTE EN OUCHE
61296,61230,MOULICENT,LONGNY LES VILLAGES
61305,61230,NEUILLY SUR EURE,LONGNY LES VILLAGES
61306,61081,NEUVILLE PRES SEES,CHAILLOUE
61313,61007,NOTRE DAME DU ROCHER,ATHIS VAL DE ROUVRE
61320,61460,ORVILLE,SAP EN AUGE
61489,61007,TOURAILLES,ATHIS VAL DE ROUVRE
73148,73006,LONGEFOY,AIME LA PLAGNE
71265,71204,LOYERE,FRAGNES LA LOYERE
68206,68012,MICHELBACH,ASPACH MICHELBACH
68233,68201,NIEDERBRUCK,MASEVAUX NIEDERBRUCK
68272,68143,RIEDWIHR,PORTE DU RIED
68310,68162,SIGOLSHEIM,KAYSERSBERG VIGNOBLE
68314,68219,SOPPE LE HAUT,HAUT SOULTZBACH
68319,68320,SPECHBACH LE BAS,SPECHBACH
69158,69066,PONT TRAMBOUZE,COURS
69247,69066,THEL,COURS
69262,69066,VILLE,COURS
71375,71279,ROUSSET,ROUSSET MARIZY
61506,61167,VILLERS EN OUCHE,FERTE EN OUCHE
72288,72363,SAINT HILAIRE LE LIERRU,TUFFE VAL DE LA CHERONNE
73016,73010,ANSIGNY,ENTRELACS
73038,73150,BELLENTRE,PLAGNE TARENTAISE
73062,73010,CESSENS,ENTRELACS
73093,73150,COTE D AIME,PLAGNE TARENTAISE
73108,73010,EPERSY,ENTRELACS
73115,73284,FONTAINE LE PUITS,SALINS FONTAINE
73126,73006,GRANIER,AIME LA PLAGNE
68164,68162,KIENTZHEIM,KAYSERSBERG VIGNOBLE
68133,68240,HENFLINGEN,ILLTAL
68108,68240,GRENTZINGEN,ILLTAL
68070,68056,DIDENHEIM,BRUNSTATT DIDENHEIM
63018,63160,AULHAT SAINT PRIVAT,AULHAT FLAT
63068,63244,CELLULE,CHAMBARON SUR MORGE
65027,65282,ARMENTEULE,LOUDENVIELLE
65188,65192,GAVARNIE,GAVARNIE GEDRE
67024,67495,BEHLENHEIM,TRUCHTERSHEIM
67041,67004,BIRKENWALD,SOMMERAU
67158,67539,GINGSHEIM,WINGERSHEIM LES QUATRE BANS
67207,67539,HOHATZENHEIM,WINGERSHEIM LES QUATRE BANS
67297,67539,MITTELHAUSEN,WINGERSHEIM LES QUATRE BANS
67374,67495,PFETTISHEIM,TRUCHTERSHEIM
67431,67004,SALENTHAL,SOMMERAU
67469,67004,SINGRIST,SOMMERAU
68031,68006,BERNWILLER,BERNWILLER
49133,49345,FAVERAYE MACHELLES,BELLEVIGNE EN LAYON
14653,14174,SAINT PIERRE LA VIEILLE,CONDE EN NORMANDIE
49117,49307,DAGUENIERE,LOIRE AUTHION
14638,14371,SAINT OUEN LE HOUX,LIVAROT PAYS D AUGE
14615,14371,SAINTE MARGUERITE DES LOGES,LIVAROT PAYS D AUGE
14618,14061,SAINTE MARIE LAUMONT,SOULEUVRE EN BOCAGE
14629,14061,SAINT MARTIN DES BESACES,SOULEUVRE EN BOCAGE
14631,14762,SAINT MARTIN DE TALLEVENDE,VIRE NORMANDIE
14632,14061,SAINT MARTIN DON,SOULEUVRE EN BOCAGE
14633,14371,SAINT MARTIN DU MESNIL OURY,LIVAROT PAYS D AUGE
14634,14371,SAINT MICHEL DE LIVET,LIVAROT PAYS D AUGE
14636,14061,SAINT OUEN DES BESACES,SOULEUVRE EN BOCAGE
14647,14570,SAINT PIERRE DE MAILLOC,VALORBIQUET
14585,14174,SAINT GERMAIN DU CRIOULT,CONDE EN NORMANDIE
01119,01080,CORCELLES,CHAMPDOR CORCELLES
14655,14061,SAINT PIERRE TARENTAINE,SOULEUVRE EN BOCAGE
14670,14543,SECQUEVILLE EN BESSIN,ROTS
14686,14726,THEIL BOCAGE,VALDALLIERE
14693,14570,TORDOUET,VALORBIQUET
14696,14371,TORTISAMBERT,LIVAROT PAYS D AUGE
14704,14061,TOURNEUR,SOULEUVRE EN BOCAGE
14717,14762,TRUTTEMER LE GRAND,VIRE NORMANDIE
14718,14762,TRUTTEMER LE PETIT,VIRE NORMANDIE
14599,14570,SAINT JULIEN DE MAILLOC,VALORBIQUET
14584,14762,SAINT GERMAIN DE TALLEVENDE LA LANDE VAUMONT,VIRE NORMANDIE
24343,24376,PUYMANGOU,SAINT AULAYE PUYMANGOU
14503,14726,PIERRES,VALDALLIERE
14420,14371,MESNIL GERMAIN,LIVAROT PAYS D AUGE
14429,14371,MEULLES,LIVAROT PAYS D AUGE
14440,14061,MONTAMY,SOULEUVRE EN BOCAGE
14441,14061,MONT BERTRAND,SOULEUVRE EN BOCAGE
14442,14726,MONTCHAMP,VALDALLIERE
14443,14061,MONTCHAUVET,SOULEUVRE EN BOCAGE
14459,14371,MOUTIERS HUBERT,LIVAROT PAYS D AUGE
14471,14371,NOTRE DAME DE COURSON,LIVAROT PAYS D AUGE
14518,14371,PREAUX SAINT SEBASTIEN,LIVAROT PAYS D AUGE
14583,14576,SAINT GERMAIN DE MONTGOMMERY,VAL DE VIE
14521,14726,PRESLES,VALDALLIERE
14523,14174,PROUSSY,CONDE EN NORMANDIE
14532,14061,RECULEY,SOULEUVRE EN BOCAGE
14539,14726,ROCQUE,VALDALLIERE
14545,14762,ROULLOURS,VIRE NORMANDIE
14549,14726,RULLY,VALDALLIERE
14564,14726,SAINT CHARLES DE PERCY,VALDALLIERE
14573,14061,SAINT DENIS MAISONCELLES,SOULEUVRE EN BOCAGE
14727,14035,VAUBADON,BALLEROY SUR DROME
14730,14762,VAUDRY,VIRE NORMANDIE
14746,14726,VIESSOIX,VALDALLIERE
22303,22046,SAINT JACUT DU MENE,MENE
22080,22203,HERMITAGE LORGE,PLOEUC L HERMITAGE
22102,22046,LANGOURLA,MENE
22142,22093,MAROUE,LAMBALLE
22191,22046,PLESSALA,MENE
22252,22093,POTERIE,LAMBALLE
22270,22093,SAINT AARON,LAMBALLE
22292,22046,SAINT GILLES DU MENE,MENE
22297,22046,SAINT GOUENO,MENE
22355,22093,TREGOMAR,LAMBALLE
15023,15108,BOURNONCLES,VAL D ARCOMIE
23161,23149,RIMONDEIX,PARSAC RIMONDEIX
24049,24028,BORN DE CHAMPS,BEAUMONTOIS EN PERIGORD
24118,24316,CHENAUD,PARCOUL CHENAUD
24185,24035,FONGALOP,PAYS DE BELVES
24219,24028,LABOUQUERIE,BEAUMONTOIS EN PERIGORD
24239,24540,LIGUEUX,SORGES ET LIGUEUX EN PERIGORD
22066,22046,GOURAY,MENE
22051,22084,DOLO,JUGON LES LACS COMMUNE NOUVELLE
15068,15108,FAVEROLLES,VAL D ARCOMIE
15071,15181,FOURNOULES,SAINT CONSTANT FOURNOULES
15150,15268,PERS,ROUGET PERS
15195,15108,SAINT JUST,VAL D ARCOMIE
15197,15108,SAINT MARC,VAL D ARCOMIE
16092,16082,CHAVENAT,BOISNE LA TUDE
16172,16082,JUILLAGUET,BOISNE LA TUDE
16179,16224,LAMERAC,MONTMERAC
16322,16106,SAINT GERMAIN DE CONFOLENS,CONFOLENS
17040,17277,BENATE,ESSOUVERT
17238,17295,MOINGS,REAUX SUR TREFLE
17371,17295,SAINT MAURICE DE TAVERNOLE,REAUX SUR TREFLE
19282,19123,VENARSAL,MALEMORT
14418,14371,MESNIL DURAND,LIVAROT PAYS D AUGE
14414,14371,MESNIL BACLEY,LIVAROT PAYS D AUGE
14395,14061,MALLOUE,SOULEUVRE EN BOCAGE
08441,08198,TERMES,GRANDPRE
05005,05118,ANTONAVES,VAL BUECH MEOUGE
05034,05118,CHATEAUNEUF DE CHABRE,VAL BUECH MEOUGE
08007,08116,ALLEUX,BAIRON ET SES ENVIRONS
08009,08311,AMBLIMONT,MOUZON
08054,08319,BEAULIEU,NEUVILLE LEZ BEAULIEU
08114,08115,CHEHERY,CHEMERY CHEHERY
08261,08116,LOUVERGNY,BAIRON ET SES ENVIRONS
10277,10003,PALIS,AIX VILLEMAUR PALIS
10415,10003,VILLEMAUR SUR VANNE,AIX VILLEMAUR PALIS
11050,11304,BRENAC,QUILLAN
11171,11080,GUEYTES ET LABASTIDE,VAL DE LAMBRONNE
12014,12224,AURELLE VERLAC,SAINT GENIEZ D OLT ET D AUBRAC
12040,12270,BUZEINS,SEVERAC D AVEYRON
12081,12177,COUSSERGUES,PALMAS D AVEYRON
12087,12177,CRUEJOULS,PALMAS D AVEYRON
03153,03158,LOUROUX HODEMENT,HAUT BOCAGE
03123,03158,GIVARLAIS,HAUT BOCAGE
